age,income_usd,savings_usd,time_horizon,risk_tolerance,goal,stocks,etfs,bonds,crypto,cash,risk_score,risk_label,expected_return_pct
36,38000,8000,5,high,house,56.1,21.9,7.0,10.0,5.0,94.3,High,13.2
23,27000,4000,20,medium,house,49.6,24.7,13.8,4.9,7.0,58.2,Medium,7.5
43,52000,21000,10,low,retirement,24.2,20.1,35.8,1.8,18.1,24.1,Low,5.5
42,55000,14500,5,high,wealth_building,54.5,22.1,8.5,9.9,5.0,89.7,High,13.9
33,46000,16000,15,medium,retirement,46.9,24.9,16.3,5.0,6.9,51.1,Medium,9.7
32,32000,12500,25,medium,education,47.2,24.9,16.0,5.0,6.9,58.2,Medium,9.2
62,76000,88000,2,medium,retirement,29.2,25.7,32.1,0.7,12.3,53.0,Medium,7.6
36,53000,17500,7,medium,retirement,46.1,24.9,17.0,5.0,7.0,61.0,Medium,9.3
25,38000,14500,30,high,house,59.0,21.8,4.4,9.9,4.9,93.4,High,9.7
55,55000,13500,3,medium,passive_income,31.1,25.5,30.1,1.1,12.2,50.9,Medium,8.7
56,59000,50500,7,low,wealth_preservation,20.6,20.4,39.6,1.1,18.3,13.0,Low,5.5
40,48000,10000,5,low,retirement,25.0,20.0,35.0,2.0,18.0,27.7,Low,5.5
59,67000,63000,3,medium,retirement,30.0,25.6,31.3,0.9,12.2,29.4,Low,7.1
61,77000,84000,7,medium,wealth_preservation,39.7,25.6,23.6,3.8,7.3,51.3,Medium,8.4
52,60000,16000,3,medium,wealth_preservation,31.9,25.4,29.3,1.3,12.1,50.1,Medium,9.5
22,20000,3000,15,medium,education,49.9,24.7,13.5,4.9,7.0,61.9,Medium,7.6
40,44000,34500,20,medium,house,45.0,25.0,18.0,5.0,7.0,58.0,Medium,7.6
33,44000,17000,15,medium,education,46.9,24.9,16.3,5.0,6.9,51.9,Medium,7.3
28,40000,8500,30,low,retirement,28.4,19.9,31.9,2.0,17.8,25.2,Low,6.2
35,57000,24500,5,high,retirement,56.3,21.9,6.8,10.0,5.0,98.7,High,10.1
24,46000,4000,25,high,house,59.2,21.8,4.1,9.9,5.0,93.5,High,10.0
46,64000,16500,10,medium,wealth_building,43.5,25.2,19.6,4.7,7.0,60.2,Medium,9.6
32,50000,20000,25,medium,retirement,47.2,24.9,16.0,5.0,6.9,56.0,Medium,9.6
58,59000,31500,5,high,wealth_preservation,50.7,22.5,12.6,9.1,5.1,82.6,High,13.7
44,58000,9000,7,low,retirement,23.9,20.1,36.1,1.8,18.1,30.2,Low,4.5
41,61000,17500,15,medium,retirement,44.8,25.0,18.3,4.9,7.0,57.4,Medium,9.1
44,60000,34000,5,medium,retirement,44.0,25.1,19.1,4.8,7.0,65.1,Medium,7.4
66,85000,77500,7,medium,passive_income,38.4,25.8,25.0,3.6,7.2,44.5,Medium,8.2
30,32000,3500,30,medium,education,47.7,24.9,15.5,5.0,6.9,58.1,Medium,9.8
59,70000,80500,10,high,retirement,50.5,22.5,12.9,9.1,5.0,80.6,High,11.3
54,58000,39500,10,low,passive_income,21.2,20.3,39.0,1.2,18.3,21.8,Low,4.3
43,64000,43000,15,low,retirement,24.2,20.1,35.8,1.8,18.1,17.2,Low,4.9
52,65000,62500,5,medium,wealth_preservation,42.0,25.4,21.2,4.3,7.1,60.2,Medium,8.8
46,61000,25000,10,medium,house,43.5,25.2,19.6,4.7,7.0,61.6,Medium,6.6
38,35000,17500,5,low,children_education,25.6,20.0,34.5,2.0,17.9,29.7,Low,5.1
28,50000,9500,30,high,retirement,58.2,21.8,5.1,9.9,5.0,89.8,High,12.2
41,64000,51500,10,medium,children_education,44.8,25.0,18.3,4.9,7.0,65.4,Medium,7.4
38,43000,10000,7,medium,house,45.5,25.0,17.5,5.0,7.0,69.4,High,9.0
45,61000,37000,10,medium,retirement,43.8,25.2,19.3,4.7,7.0,67.7,High,9.2
22,28000,3000,25,medium,retirement,49.9,24.7,13.5,4.9,7.0,68.0,High,8.0
36,59000,8500,10,low,house,26.1,20.0,34.0,2.0,17.9,33.9,Medium,6.6
45,56000,33000,20,low,retirement,23.6,20.1,36.4,1.7,18.2,16.7,Low,5.9
38,55000,20500,20,high,retirement,55.5,22.0,7.5,10.0,5.0,82.9,High,9.4
27,32000,7500,30,medium,wealth_building,48.5,24.8,14.8,5.0,6.9,60.6,Medium,7.5
28,45000,22500,30,high,retirement,58.2,21.8,5.1,9.9,5.0,95.1,High,10.1
49,48000,38500,10,high,wealth_building,52.9,22.2,10.3,9.6,5.0,85.3,High,11.6
49,59000,53000,10,high,retirement,52.9,22.2,10.3,9.6,5.0,91.2,High,14.4
36,45000,31000,20,low,house,26.1,20.0,34.0,2.0,17.9,16.2,Low,5.3
33,53000,28000,30,low,retirement,27.0,19.9,33.2,2.0,17.9,14.5,Low,5.5
25,20000,9000,25,medium,retirement,49.1,24.8,14.3,5.0,6.8,67.2,High,9.2
43,52000,38000,15,medium,retirement,44.3,25.1,18.8,4.8,7.0,52.4,Medium,10.0
36,56000,38500,20,low,retirement,26.1,20.0,34.0,2.0,17.9,16.7,Low,4.3
50,47000,43500,2,medium,retirement,32.4,25.3,28.7,1.4,12.2,69.2,High,8.1
24,43000,13500,35,high,retirement,59.2,21.8,4.1,9.9,5.0,93.1,High,14.2
31,41000,25500,15,low,education,27.6,19.9,32.7,2.0,17.8,23.6,Low,5.6
44,53000,32000,10,high,retirement,54.1,22.1,9.0,9.8,5.0,98.8,High,10.7
